營業額,01,02,03,04,05,06,07,08,09,10,11,12,
2014,,,,,,,,,,,,,
2015,"311,738","1,088,330","581,100","665,870","607,231","346,982","608,266","1,033,097","552,571","844,787","1,002,803","1,987,474",
2016,"1,564,560","1,809,775","1,777,700","1,316,674","1,472,945","1,207,116","1,563,135","1,663,247","1,610,621","1,218,450","1,771,701","1,231,230",
2017,"2,115,055","2,120,699","229,450",,,,,,,,,,
,,,,,,,,,,,,,
毛利,01,02,03,04,05,06,07,08,09,10,11,12,
2014,,,,,,,,,,,,,
2015,23.79,23.59,19.08,21.04,22.88,22.99,21.07,12.41,20.69,20.77,21.22,16.28,
2016,12.94,16.55,18.11,16.01,17.00,17.87,18.98,16.28,15.32,14.41,14.90,16.68,
2017,15.37,17.00,18.17,,,,,,,,,,
,,,,,,,,,,,,,
利潤,01,02,03,04,05,06,07,08,09,10,11,12,
2014,,,,,,,,,,,,,
2015,"74,162","256,770","110,880","140,127","138,935","79,772","128,137","128,193","114,325","175,495","212,808","323,555",
2016,"202,499","299,562","321,939","210,785","250,417","215,662","296,637","270,849","246,699","175,527","264,058","205,405",
2017,"325,116","360,593","41,691",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
平均統計,,,,,,,,,,,,,
2014,10~12,27.98,,,,,,,,,,,
2015,4~6,22.00,7~12,17.86,1,23.87,2~3,21.92,,,,,
2016,1~3,15.66,4~6,17.14,7~9,15.53,10~12,11.03,,,,,
2017,1~3,15.87,,,,,,,,,,,
