營業額,01,02,03,04,05,06,07,08,09,10,11,12,
2014,,,,,,,,,,,"78,710","104,290",
2015,"137,710","373,190","287,850","257,390","181,010","124,750","153,210","393,540","271,397","319,452","350,067","116,278",
2016,"218,983","654,433","370,149","389,667","270,342","344,080","231,398","432,798","485,142","417,127","558,279","566,602",
2017,"1,019,210","937,199","37,040",0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,
毛利,01,02,03,04,05,06,07,08,09,10,11,12,
2014,,,,,,,,,,,18.74,11.98,
2015,17.07,28.54,25.79,45.50,28.01,14.90,48.77,20.08,19.63,22.15,25.83,15.86,
2016,22.28,23.14,19.41,18.02,19.55,18.03,19.48,15.26,19.77,19.47,17.80,21.59,
2017,18.76,23.47,16.36,,,,,,,,,,
,,,,,,,,,,,,,
利潤,01,02,03,04,05,06,07,08,09,10,11,12,
2014,,,,,,,,,,,"14,754","12,493",
2015,"23,509","106,503","74,235","117,103","50,701","18,589","74,726","79,023","53,275","70,752","90,427","18,443",
2016,"48,790","151,462","71,862","70,202","52,865","62,026","45,077","66,049","95,914","81,216","99,365","122,324",
2017,"191,218","219,973","6,060",0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2014,,,,,,,,,,,,,
2015,2014~2017,21.76,,,,,,,,,,,
2016,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
